都道府県,平成12年,平成17年,平成22年,平成27年,平成28年
東京都,12064,12577,13159,13515,13624
神奈川県,8490,8792,9048,9126,9145
大阪府,8805,8817,8865,8839,8833
愛知県,7043,7255,7411,7483,7507
埼玉県,6938,7054,7195,7267,7289
千葉県,5926,6056,6216,6223,6236
兵庫県,5551,5591,5588,5535,5520
北海道,5683,5628,5506,5382,5352
福岡県,5016,5050,5072,5102,5104
静岡県,3767,3792,3765,3700,3688
茨城県,2986,2975,2970,2917,2905
広島県,2879,2877,2861,2844,2837
京都府,2644,2648,2636,2610,2605
宮城県,2365,2360,2348,2334,2330
新潟県,2476,2431,2374,2304,2286
長野県,2215,2196,2152,2099,2088
岐阜県,2108,2107,2081,2032,2022
群馬県,2025,2024,2008,1973,1967
栃木県,2005,2017,2008,1974,1966
岡山県,1951,1957,1945,1922,1915
福島県,2127,2091,2029,1914,1901
三重県,1857,1867,1855,1816,1808
熊本県,1859,1842,1817,1786,1774
鹿児島県,1786,1753,1706,1648,1637
沖縄県,1318,1362,1393,1434,1439
滋賀県,1343,1380,1411,1413,1413
山口県,1528,1493,1451,1405,1394
愛媛県,1493,1468,1431,1385,1375
長崎県,1517,1479,1427,1377,1367
奈良県,1443,1421,1401,1364,1356
青森県,1476,1437,1373,1308,1293
岩手県,1416,1385,1330,1280,1268
大分県,1221,1210,1197,1166,1160
石川県,1181,1174,1170,1154,1151
山形県,1244,1216,1169,1124,1113
宮崎県,1170,1153,1135,1104,1096
富山県,1121,1112,1093,1066,1061
秋田県,1189,1146,1086,1023,1010
香川県,1023,1012,996,976,972
和歌山県,1070,1036,1002,964,954
山梨県,888,885,863,835,830
佐賀県,877,866,850,833,828
福井県,829,822,806,787,782
徳島県,824,810,785,756,750
高知県,814,796,764,728,721
島根県,762,742,717,694,690
鳥取県,613,607,589,573,570
